id_municipio,regiao,total_estabelecimentos,estabelecimentos_com_orientacao,prop_orientacao,alta_assistencia,produtividade_agropecuaria,valor_producao_agropecuaria,area_estabelecimentos_ha,area_media_estab,temperatura_media,temperatura_maxima,dias_quentes,precipitacao_anual,precipitacao_extrema,dias_secos,carbono_solo,teor_argila,teor_areia,pib_total,pib_agropecuaria,pib_industria,pib_servicos,populacao_total,area_municipio,pib_percapita,densidade_demografica,valor_pronaf,contratos_pronaf
1100015,Norte,2886,511,0.17706167706167705,0,0.5134166429686704,191374.0,372746.0,129.15661815661815,25.333478927612305,28.88381767272949,7.299280166625977,1833.27587890625,100.58201599121094,63.647796630859375,52.13521957397461,30.015588760375977,55.68416213989258,485374.0,169623.0,27342.0,108357.0,25437,7094.430338680356,19.08141683374612,3.5854887264608157,20176231.96,585
1100023,Norte,2928,329,0.11236338797814208,0,0.4594352831362788,153569.0,334256.0,114.1584699453552,26.125022888183597,29.82342529296875,21.211833953857425,2080.558349609375,110.40821075439452,60.999996185302734,46.53535079956055,33.33110809326172,53.33073806762695,2287910.0,165217.0,326362.0,930388.0,107345,4444.669484375528,21.313614979738222,24.15140211827964,16481496.11,415
1100031,Norte,1075,307,0.2855813953488372,1,1.2992350886501305,146924.0,113085.0,105.19534883720931,25.26349639892578,29.199087142944336,11.179762840270996,1560.00927734375,77.5403823852539,62.01005554199219,41.670204162597656,25.17588424682617,64.51824188232422,138110.0,63022.0,4771.0,21875.0,6224,1319.2913666013976,22.18991002570694,4.717684173158453,6734115.29,235
1100049,Norte,3814,378,0.09910854745673833,0,0.7490582230453047,165834.0,221390.0,58.046670162558996,25.69308853149414,29.50737762451172,14.803975105285645,1772.474853515625,113.4996337890625,62.121341705322266,42.16617965698242,25.33234977722168,61.47967147827149,2082761.0,255060.0,224442.0,876362.0,88507,3808.077871035428,23.53216129797643,23.24190917239165,21354144.25,569
1100056,Norte,719,167,0.23226703755215578,1,1.5987007246262412,202533.0,126686.0,176.19749652294854,25.493846893310547,29.17093086242676,8.600010871887207,1657.1512451171875,87.55005645751953,63.26554107666016,56.77436447143555,27.737773895263672,60.641746520996094,439245.0,61940.0,21925.0,186474.0,17934,2793.8585289417483,24.49230511876882,6.419079496767863,6625251.2,175
1100064,Norte,1674,548,0.32735961768219835,1,0.9284886548971358,129799.0,139796.0,83.51015531660693,24.89790916442871,28.64062118530273,8.573533058166504,1730.732666015625,78.545654296875,62.15169143676758,43.73288345336914,25.038209915161133,63.25563049316406,328377.0,78346.0,29208.0,91683.0,18467,1456.568228105,17.78182704283316,12.67843115322214,19993257.23,491
1100072,Norte,1489,299,0.2008059100067159,0,2.0916304753813817,571195.0,273086.0,183.4022834116857,25.167449951171875,28.79713630676269,8.78516674041748,1800.161376953125,88.89799499511719,62.91453170776367,45.94218826293945,28.70522689819336,59.42442321777344,332804.0,227123.0,10270.0,27788.0,8659,3072.005574873655,38.4344612541864,2.8186797806693846,12616199.02,321
1100080,Norte,1500,550,0.36666666666666664,1,0.41471180005177655,91310.0,220177.0,146.78466666666668,25.67458152770996,29.265369415283203,9.01297664642334,1777.6414794921875,99.6624984741211,58.57799530029297,44.46308517456055,27.103757858276367,60.953399658203125,212879.0,62852.0,5819.0,38854.0,17400,5006.603848213488,12.234425287356322,3.475409784261014,11054233.24,321
1100098,Norte,2000,241,0.1205,0,0.5675794785126005,140380.0,247331.0,123.6655,25.41069602966309,29.49606132507324,22.95237159729004,1852.7032470703125,108.9858856201172,63.44457244873047,46.629188537597656,28.50505256652832,55.11722183227539,566361.0,124625.0,47022.0,163761.0,33030,4535.977625160289,17.146866485013625,7.281781950772478,9309921.87,194
1100106,Norte,602,262,0.43521594684385384,1,0.41099777263892634,28970.0,70487.0,117.08803986710963,25.663402557373047,29.239233016967773,9.951101303100586,1936.8857421875,103.55463409423828,58.20285034179688,47.84861755371094,31.014633178710938,55.89593505859375,775195.0,47074.0,25188.0,324254.0,47451,24955.64946431874,16.336747381509348,1.9014131476660152,1598886.06,23
